breed,dir,count
Abyssinian,/raid/hjy/my_cat_dataset/Abyssinian,200
American Shorthair,/raid/hjy/my_cat_dataset/American Shorthair,210
Bengal,/raid/hjy/my_cat_dataset/Bengal,200
Birman,/raid/hjy/my_cat_dataset/Birman,200
Bombay,/raid/hjy/my_cat_dataset/Bombay,1582
British Shorthair,/raid/hjy/my_cat_dataset/British Shorthair,200
Calico,/raid/hjy/my_cat_dataset/Calico,3029
Cornish Rex,/raid/hjy/my_cat_dataset/Cornish Rex,224
Dilute Calico,/raid/hjy/my_cat_dataset/Dilute Calico,2853
Dilute Tortoiseshell,/raid/hjy/my_cat_dataset/Dilute Tortoiseshell,2739
Egyptian Mau,/raid/hjy/my_cat_dataset/Egyptian Mau,200
LaPerm,/raid/hjy/my_cat_dataset/LaPerm,318
Maine Coon,/raid/hjy/my_cat_dataset/Maine Coon,200
Munchkin,/raid/hjy/my_cat_dataset/Munchkin,297
Nebelung,/raid/hjy/my_cat_dataset/Nebelung,319
Norwegian Forest Cat,/raid/hjy/my_cat_dataset/Norwegian Forest Cat,514
Ocicat,/raid/hjy/my_cat_dataset/Ocicat,285
Oriental Long Hair,/raid/hjy/my_cat_dataset/Oriental Long Hair,252
Oriental Short Hair,/raid/hjy/my_cat_dataset/Oriental Short Hair,261
Persian,/raid/hjy/my_cat_dataset/Persian,2803
Ragdoll,/raid/hjy/my_cat_dataset/Ragdoll,2282
Russian Blue,/raid/hjy/my_cat_dataset/Russian Blue,1571
Siamese,/raid/hjy/my_cat_dataset/Siamese,200
Singapura,/raid/hjy/my_cat_dataset/Singapura,368
Snowshoe,/raid/hjy/my_cat_dataset/Snowshoe,1417
Somali,/raid/hjy/my_cat_dataset/Somali,226
Sphynx - Hairless Cat,/raid/hjy/my_cat_dataset/Sphynx - Hairless Cat,272
Torbie,/raid/hjy/my_cat_dataset/Torbie,3094
Tortoiseshell,/raid/hjy/my_cat_dataset/Tortoiseshell,3337
Turkish Angora,/raid/hjy/my_cat_dataset/Turkish Angora,659
Tuxedo,/raid/hjy/my_cat_dataset/Tuxedo,2784
