breed,dir,count
Abyssinian,./images/cat_breeds_two/Abyssinian,207
American Bobtail,./images/cat_breeds_two/American Bobtail,864
American Curl,./images/cat_breeds_two/American Curl,259
American Shorthair,./images/cat_breeds_two/American Shorthair,4519
Applehead Siamese,./images/cat_breeds_two/Applehead Siamese,210
Balinese,./images/cat_breeds_two/Balinese,210
Bengal,./images/cat_breeds_two/Bengal,2151
Birman,./images/cat_breeds_two/Birman,200
Bombay,./images/cat_breeds_two/Bombay,1582
British Shorthair,./images/cat_breeds_two/British Shorthair,505
Burmese,./images/cat_breeds_two/Burmese,294
Calico,./images/cat_breeds_two/Calico,3029
Cornish Rex,./images/cat_breeds_two/Cornish Rex,224
Dilute Calico,./images/cat_breeds_two/Dilute Calico,2853
Dilute Tortoiseshell,./images/cat_breeds_two/Dilute Tortoiseshell,2739
Domestic Long Hair,./images/cat_breeds_two/Domestic Long Hair,3939
Domestic Medium Hair,./images/cat_breeds_two/Domestic Medium Hair,4772
Domestic Short Hair,./images/cat_breeds_two/Domestic Short Hair,46214
Egyptian Mau,./images/cat_breeds_two/Egyptian Mau,255
Exotic Shorthair,./images/cat_breeds_two/Exotic Shorthair,415
Extra-Toes Cat - Hemingway Polydactyl,./images/cat_breeds_two/Extra-Toes Cat - Hemingway Polydactyl,990
Havana,./images/cat_breeds_two/Havana,200
Himalayan,./images/cat_breeds_two/Himalayan,991
Japanese Bobtail,./images/cat_breeds_two/Japanese Bobtail,239
LaPerm,./images/cat_breeds_two/LaPerm,318
Maine Coon,./images/cat_breeds_two/Maine Coon,1249
Manx,./images/cat_breeds_two/Manx,1815
Munchkin,./images/cat_breeds_two/Munchkin,297
Nebelung,./images/cat_breeds_two/Nebelung,319
Norwegian Forest Cat,./images/cat_breeds_two/Norwegian Forest Cat,514
Ocicat,./images/cat_breeds_two/Ocicat,285
Oriental Long Hair,./images/cat_breeds_two/Oriental Long Hair,298
Oriental Short Hair,./images/cat_breeds_two/Oriental Short Hair,412
Persian,./images/cat_breeds_two/Persian,2804
Pixiebob,./images/cat_breeds_two/Pixiebob,294
Ragamuffin,./images/cat_breeds_two/Ragamuffin,244
Ragdoll,./images/cat_breeds_two/Ragdoll,2282
Russian Blue,./images/cat_breeds_two/Russian Blue,1571
Scottish Fold,./images/cat_breeds_two/Scottish Fold,327
Siamese,./images/cat_breeds_two/Siamese,2394
Siberian,./images/cat_breeds_two/Siberian,344
Singapura,./images/cat_breeds_two/Singapura,382
Snowshoe,./images/cat_breeds_two/Snowshoe,1417
Somali,./images/cat_breeds_two/Somali,226
Sphynx - Hairless Cat,./images/cat_breeds_two/Sphynx - Hairless Cat,275
Tabby,./images/cat_breeds_two/Tabby,2626
Tiger,./images/cat_breeds_two/Tiger,2010
Tonkinese,./images/cat_breeds_two/Tonkinese,213
Torbie,./images/cat_breeds_two/Torbie,3094
Tortoiseshell,./images/cat_breeds_two/Tortoiseshell,3337
Turkish Angora,./images/cat_breeds_two/Turkish Angora,659
Turkish Van,./images/cat_breeds_two/Turkish Van,705
Tuxedo,./images/cat_breeds_two/Tuxedo,2784
